timestamp,imu_angle_roll,imu_angle_pitch,imu_angle_yaw,imu_angular_velocity_roll,imu_angular_velocity_pitch,imu_angular_velocity_yaw,imu_acc_x,imu_acc_y,imu_acc_z,fl_joint1_pos,fl_joint1_vel,fl_joint1_torque,fl_joint2_pos,fl_joint2_vel,fl_joint2_torque,fl_joint3_pos,fl_joint3_vel,fl_joint3_torque,fr_joint1_pos,fr_joint1_vel,fr_joint1_torque,fr_joint2_pos,fr_joint2_vel,fr_joint2_torque,fr_joint3_pos,fr_joint3_vel,fr_joint3_torque,hl_joint1_pos,hl_joint1_vel,hl_joint1_torque,hl_joint2_pos,hl_joint2_vel,hl_joint2_torque,hl_joint3_pos,hl_joint3_vel,hl_joint3_torque,hr_joint1_pos,hr_joint1_vel,hr_joint1_torque,hr_joint2_pos,hr_joint2_vel,hr_joint2_torque,hr_joint3_pos,hr_joint3_vel,hr_joint3_torque,fl_force_x,fl_force_y,fl_force_z,fr_force_x,fr_force_y,fr_force_z,hl_force_x,hl_force_y,hl_force_z,hr_force_x,hr_force_y,hr_force_z,fl_hip_action,fl_thigh_action,fl_calf_action,fr_hip_action,fr_thigh_action,fr_calf_action,hl_hip_action,hl_thigh_action,hl_calf_action,hr_hip_action,hr_thigh_action,hr_calf_action
2025-06-06 16:24:51.392,-4.250968,1.711358,-11.691882,-0.29998443,0.36546963,-0.17277797,0.349293,-2.008906,9.487787,-0.0815898,0.123176575,7.0502777,-1.196543,-0.3458786,0.14587784,1.7341335,0.64022064,-9.716335,0.0828868,0.048561096,1.4691391,-0.42307493,0.35655975,-0.43152618,1.5736364,0.13568878,-0.43152618,-0.079307556,0.4062271,-2.0367737,-1.2748008,0.06122589,0.363163,1.5147121,0.1391983,-1.411766,0.11432648,0.14270782,-8.590828,-0.77338666,0.8382797,4.4977493,1.5439581,-0.56598663,-1.2884712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.2580255,-3.0,3.0,3.0,-1.6347202,-3.0,-1.2502197,-3.0,-3.0,2.2709954,-3.0
2025-06-06 16:24:51.443,-4.989055,2.557349,-12.048348,-0.1271746,0.37315792,-0.0872149,0.118098,-2.906902,9.40608,-0.079682454,-0.008354187,7.188221,-1.2124121,-0.4063034,-0.6756706,1.76282,0.4204178,-10.4780655,0.08517562,-0.017967224,1.4129868,-0.4195654,0.14186859,-0.22522354,1.6079687,0.36197662,0.15442276,-0.07030487,0.03856659,-2.0172424,-1.2641959,0.19374847,0.5438309,1.5165431,-0.059165955,-1.1737251,0.11798859,0.020179749,-8.567635,-0.74088544,0.48854828,5.691616,1.5187811,-0.17986298,-0.91737366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.3774017,-3.0,3.0,3.0,-1.3158823,-3.0,-1.1908672,-3.0,-3.0,2.3308828,-3.0
2025-06-06 16:24:51.495,-5.239966,3.323311,-12.454983,0.05746601,0.28658614,-0.12844253,-0.192972,-2.07589,8.877196,-0.0816661,-0.12004852,7.389641,-1.2269843,-0.3507614,-0.9271393,1.7818935,0.13584137,-10.710003,0.08380233,-0.047721863,1.5020981,-0.42032835,-0.05924225,-0.017700195,1.6426061,0.42675018,-0.072631836,-0.06374359,0.31154633,-2.3761368,-1.2574058,0.07663727,0.7818718,1.512347,-0.1543808,-0.87831116,0.12218475,0.1884079,-8.841076,-0.72799176,0.17032623,5.888153,1.5159582,0.010108948,-1.235981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.4618071,-3.0,3.0,3.0,-1.1085612,-3.0,-1.1513515,-3.0,-3.0,2.360057,-3.0
2025-06-06 16:24:51.547,-4.88607,4.07818,-13.041193,0.18992102,0.27679417,-0.23362695,-0.500831,-1.463344,9.908502,-0.087235555,-0.2009201,7.725338,-1.2383521,-0.23906708,-1.2762642,1.7899806,0.028648376,-10.833296,0.0778514,-0.29888153,1.9635315,-0.4221594,-0.11035919,0.072631836,1.6799139,0.7404709,-0.7721062,-0.056037903,0.007896423,-2.461586,-1.2474875,0.2866745,0.6256218,1.498843,-0.2801895,-0.29968643,0.12866974,0.069618225,-8.9900055,-0.7208964,0.18276215,6.0102234,1.5225958,0.23616791,-1.6376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.5238546,-3.0,3.0,3.0,-0.9856331,-3.0,-1.1195592,-3.0,-3.0,2.355342,-3.0
2025-06-06 16:24:51.600,-4.42385,4.798135,-13.8828,0.13980658,0.22830164,-0.23481196,-1.000249,-0.221928,9.658557,-0.09661971,-0.27561188,8.057373,-1.2483466,-0.20030975,-1.3665962,1.7897518,-0.0052261353,-10.786907,0.065186605,-0.1454544,2.3736916,-0.42444822,0.016899109,0.12512589,1.7169927,0.44696808,-1.4642563,-0.05420685,-0.0049972534,-2.449379,-1.236959,0.2312851,0.4730301,1.4879329,-0.13408661,-0.05432129,0.13103485,-0.011634827,-9.01564,-0.7157847,0.10219574,5.823452,1.5287756,0.09525299,-1.719387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.5823991,-3.0,3.0,3.0,-0.8427054,-3.0,-1.084204,-3.0,-3.0,2.3862598,-3.0
2025-06-06 16:24:51.651,-3.911405,5.376065,-14.497893,0.27129403,0.20739172,-0.21565522,-1.156393,0.103533,9.443603,-0.098832235,0.018959045,7.8474083,-1.2569678,-0.19191742,-1.3775864,1.7894466,-0.034370422,-10.755169,0.060685262,-0.02544403,2.2784767,-0.4271185,0.027275085,0.16418839,1.7496465,0.60985565,-2.0672913,-0.07419586,-0.3837967,-1.0894928,-1.2190299,0.33618927,0.016479492,1.4844234,0.02773285,-0.11779785,0.13935089,0.25074005,-9.542992,-0.7109019,0.17024994,5.7270164,1.5339636,0.032310486,-1.8377953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.570003,-3.0,3.0,3.0,-0.8538222,-3.0,-1.0991346,-3.0,-3.0,2.3366406,-3.0
2025-06-06 16:24:51.702,-3.381065,5.730613,-15.360192,0.08294002,0.006387329,-0.292602,-1.447317,0.296054,9.959881,-0.09776412,0.07312775,7.8181114,-1.2710059,-0.15918732,-0.64271164,1.7885311,-0.04283905,-10.751507,0.05503951,-0.11898041,2.6727715,-0.4284918,-0.045661926,0.23010635,1.7675756,0.15125275,-2.211338,-0.08693695,-0.05619049,-1.2591743,-1.2133842,-0.10303497,0.111694336,1.4844997,-0.0031661987,-0.11291504,0.15232086,0.15499115,-9.964142,-0.70777386,0.020561218,5.5060654,1.5357183,0.0037002563,-1.8902893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.5906321,-3.0,3.0,3.0,-0.7766209,-3.0,-1.0784491,-3.0,-3.0,2.401148,-3.0
2025-06-06 16:24:51.753,-3.501423,5.613962,-16.108284,-0.084609196,-0.03849409,-0.1929508,-1.23921,-0.14224,10.35288,-0.09814559,-0.0062179565,7.855953,-1.2871802,-0.14659882,-0.38513947,1.7888362,0.013694763,-10.727093,0.047181234,-0.14713287,2.8485527,-0.42894956,0.03452301,0.23254776,1.7707037,-0.0146865845,-1.8402367,-0.08052826,0.12516022,-1.8170433,-1.2222342,-0.26599884,0.8172722,1.4846523,0.0017166138,-0.12145996,0.15911102,0.11379242,-10.124054,-0.7048747,0.102882385,5.7636375,1.5342687,-0.045967102,-1.6998558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.6979531,-3.0,3.0,3.0,-0.58000964,-3.0,-0.9970531,-3.0,-3.0,2.511178,-3.0
2025-06-06 16:24:51.804,-3.759688,5.592163,-16.381618,-0.06262964,0.06662252,-0.031036334,-0.829769,-1.172835,9.956331,-0.09700118,0.037269592,7.7277794,-1.2938178,-0.06389618,-1.0772858,1.7892177,0.053520203,-10.745403,0.047028646,0.011253357,2.7106133,-0.42925474,0.016059875,0.22766495,1.7721533,-0.025215149,-1.1224518,-0.07488251,0.05290985,-1.8646507,-1.2250571,0.015449524,1.1041412,1.4846523,-0.0016403198,-0.122680664,0.16223907,0.058555603,-10.08255,-0.6983897,0.22312164,6.183567,1.5236639,-0.2878952,-1.1920357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.763889,-3.0,3.0,3.0,-0.42465898,-3.0,-0.94436616,-3.0,-3.0,2.549307,-3.0
2025-06-06 16:24:51.855,-3.966394,5.703935,-16.442171,-0.01950772,0.06268299,-0.019089015,-0.826986,-1.260653,9.182805,-0.09616195,-0.013465881,7.770504,-1.2976325,-0.10387421,-1.33852,1.7891414,0.02193451,-10.786907,0.04710494,-0.06084442,2.7130547,-0.4309332,-0.03894806,0.31921768,1.7749761,0.04573822,-0.79896164,-0.07434845,-0.052604675,-1.806057,-1.2222342,0.0598526,1.359272,1.4839656,-0.093574524,-0.018920898,0.1619339,-0.009651184,-10.0312805,-0.6948802,0.019264221,6.426491,1.516416,-0.018577576,-1.0992584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.7579535,-3.0,3.0,3.0,-0.38812467,-3.0,-0.93060774,-3.0,-3.0,2.5297751,-3.0
